numero_sorteado,comparacoes_abb,comparacoes_lista
796,12,704
1664,16,1000
527,11,1000
479,12,1000
1019,14,1000
1170,11,1000
1975,10,1000
1658,17,1000
625,11,369
1320,14,1000
1097,16,1000
277,14,570
691,9,1000
1830,16,1000
1224,10,169
62,6,1000
987,16,757
489,13,881
1295,8,220
1344,8,145
1746,13,1000
183,10,784
423,15,1000
159,10,973
1585,17,1000
856,15,843
572,15,1000
1782,10,1000
644,7,43
549,10,1000
1058,16,1000
463,17,1000
1664,16,1000
1440,8,615
404,12,164
499,13,1000
1143,11,1000
373,13,1000
189,10,1000
1474,15,1000
1433,7,1000
1679,13,1000
874,14,1000
197,10,187
1933,10,605
541,10,200
1936,12,679
1073,18,1000
1297,9,613
838,12,163
1370,12,1000
1007,10,932
1758,12,133
1739,19,1000
1830,16,1000
1467,15,1000
399,18,408
61,6,1000
1825,11,115
442,10,64
1699,13,280
191,9,91
32,8,281
1071,18,1000
961,17,908
1661,15,485
1136,11,395
1519,15,548
1100,16,1000
349,13,403
1872,17,1000
1187,11,1000
1943,9,479
132,13,1000
1374,11,1000
606,13,1000
970,16,1000
1149,11,256
1726,17,1000
704,12,1000
502,14,817
405,14,723
82,8,1000
970,16,1000
1030,12,1000
1962,9,1000
823,15,1000
35,6,152
1846,15,1000
1974,10,829
1452,5,9
347,10,131
1912,14,1000
1350,13,1000
1161,11,1000
1550,12,1000
1029,12,1000
1184,12,695
509,12,1000
1610,16,1000
